date,McTavish,Bellevue,Assomption,Trudeau,StHubert
2013-04-01,39,19,37,24,
2013-04-02,0,0,0,0,
2013-04-03,0,0,0,0,
2013-04-04,0,0,0,0,
2013-04-05,12,0,0,3,
2013-04-06,0,0,0,0,
2013-04-07,0,0,30,0,
2013-04-08,0,0,0,0,
2013-04-09,154,132,120,143,
2013-04-10,0,0,0,0,
2013-04-11,0,0,0,0,
2013-04-12,219,167,150,193,
2013-04-13,33,6,50,3,
2013-04-14,0,0,0,0,
2013-04-15,0,0,0,0,
2013-04-16,126,58,70,79,
2013-04-17,0,0,0,0,
2013-04-18,0,0,11,0,
2013-04-19,48,45,31,27,
2013-04-20,0,7,11,0,
2013-04-21,0,0,0,0,
2013-04-22,0,0,0,0,
2013-04-23,0,0,0,0,
2013-04-24,32,19,20,35,
2013-04-25,0,0,0,0,
2013-04-26,0,8,0,0,
2013-04-27,0,0,0,0,
2013-04-28,0,0,0,0,
2013-04-29,12,0,0,0,
2013-04-30,0,0,0,0,
2014-04-01,0,0,0,0,
2014-04-02,0,0,0,0,
2014-04-03,0,0,0,0,
2014-04-04,155,160,140,157,
2014-04-05,11,4,30,11,
2014-04-06,0,0,0,0,
2014-04-07,0,0,0,0,
2014-04-08,282,247,300,287,
2014-04-09,10,0,10,0,
2014-04-10,18,25,30,16,
2014-04-11,20,14,10,16,
2014-04-12,0,0,0,0,
2014-04-13,56,90,150,68,
2014-04-14,96,94,100,83,
2014-04-15,136,60,100,98,
2014-04-16,0,2,0,0,
2014-04-17,0,0,0,0,
2014-04-18,0,0,0,0,
2014-04-19,10,4,17,0,
2014-04-20,0,0,0,0,
2014-04-21,0,0,0,0,
2014-04-22,110,122,100,106,
2014-04-23,10,0,0,0,
2014-04-24,0,0,0,0,
2014-04-25,0,0,0,0,
2014-04-26,125,74,80,83,
2014-04-27,25,36,18,34,
2014-04-28,0,0,0,0,
2014-04-29,11,11,0,3,
2014-04-30,324,393,210,307,
2015-04-01,,0,0,2,0
2015-04-02,,27,12,12,2
2015-04-03,28,24,10,21,24
2015-04-04,,95,110,91,90
2015-04-05,,0,0,0,0
2015-04-06,,3,0,4,2
2015-04-07,,2,0,2,0
2015-04-08,,30,0,27,16
2015-04-09,,28,50,27,24
