date,McTavish,Bellevue,Assomption,Trudeau,StHubert
2013-05-01,0,0,0,0,46
2013-05-02,0,0,0,0,46
2013-05-03,0,0,0,0,46
2013-05-04,0,0,0,0,46
2013-05-05,0,0,0,0,46
2013-05-06,0,0,0,0,46
2013-05-07,0,0,0,0,46
2013-05-08,0,0,0,0,46
2013-05-09,10,0,19,0,52
2013-05-10,0,4,20,0,51
2013-05-11,106,105,190,138,154
2013-05-12,0,0,10,0,48
2013-05-13,10,0,0,0,48
2013-05-14,0,0,0,0,46
2013-05-15,40,0,17,10,59
2013-05-16,0,0,0,0,46
2013-05-17,0,0,0,0,46
2013-05-18,0,0,0,0,46
2013-05-19,12,21,0,32,59
2013-05-20,64,19,90,38,87
2013-05-21,40,51,50,39,82
2013-05-22,26,0,0,0,52
2013-05-23,232,92,240,108,179
2013-05-24,52,63,70,59,96
2013-05-25,116,56,98,79,116
2013-05-26,116,132,159,172,161
2013-05-27,0,0,0,0,46
2013-05-28,11,4,4,4,51
2013-05-29,146,80,50,189,140
2013-05-30,0,0,0,0,46
2013-05-31,0,0,0,0,46
2013-06-01,222,93,30,117,138
2013-06-02,68,152,140,121,143
2013-06-03,0,0,0,0,46
2013-06-04,24,0,0,0,51
2013-06-05,0,0,0,0,46
2013-06-06,50,65,30,45,83
2013-06-07,83,112,150,78,129
2013-06-08,80,53,50,61,95
2013-06-09,0,0,10,0,48
2013-06-10,0,0,10,0,48
2013-06-11,358,310,350,304,313
2013-06-12,30,75,10,37,74
2013-06-13,0,0,20,0,50
2013-06-14,0,0,0,0,46
2013-06-15,0,0,0,0,46
2013-06-16,124,95,100,103,130
2013-06-17,0,0,10,0,48
2013-06-18,0,0,0,0,46
2013-06-19,0,0,0,0,46
2013-06-20,0,0,0,0,46
2013-06-21,0,0,0,0,46
2013-06-22,102,102,70,115,123
2013-06-23,0,0,0,0,46
2013-06-24,117,49,600,63,213
2013-06-25,0,102,10,40,76
2013-06-26,10,38,40,0,63
2013-06-27,0,0,0,0,46
2013-06-28,275,204,250,171,226
2013-06-29,0,0,10,0,48
2013-06-30,0,0,0,0,46
2013-07-01,0,0,0,0,46
2013-07-02,0,0,20,0,50
2013-07-03,0,26,36,26,65
2013-07-04,0,0,1,0,46
2013-07-05,0,10,0,15,51
2013-07-06,0,0,0,0,46
2013-07-07,138,55,0,69,99
2013-07-08,10,9,0,15,53
2013-07-09,0,0,0,0,46
2013-07-10,187,3,80,21,104
2013-07-11,0,0,0,0,46
2013-07-12,10,0,0,0,48
2013-07-13,0,0,0,0,46
2013-07-14,0,0,0,0,46
2013-07-15,0,0,0,0,46
2013-07-16,0,0,0,0,46
2013-07-17,240,86,20,220,158
2013-07-18,10,0,0,23,52
2013-07-19,140,275,210,209,212
2013-07-20,60,66,30,52,88
2013-07-21,0,0,0,0,46
2013-07-22,0,0,0,0,46
2013-07-23,394,27,100,107,172
2013-07-24,0,0,0,0,46
2013-07-25,0,0,0,0,46
2013-07-26,0,0,0,0,46
2013-07-27,0,0,0,0,46
2013-07-28,94,206,120,110,152
2013-07-29,66,46,0,28,74
2013-07-30,18,0,0,0,50
2013-07-31,0,0,0,0,46
2013-08-01,102,118,160,72,136
2013-08-02,0,0,0,0,46
2013-08-03,0,189,270,5,139
2013-08-04,12,0,21,0,53
2013-08-05,0,0,0,0,46
2013-08-06,0,0,0,0,46
2013-08-07,0,24,0,0,51
2013-08-08,0,0,200,0,86
2013-08-09,72,47,0,61,82
2013-08-10,0,0,0,0,46
2013-08-11,0,0,0,0,46
2013-08-12,0,0,0,0,46
