ID,Surverse
3260-01D_2019-05-02,1
3260-01D_2019-05-09,0
3260-01D_2019-05-10,0
3260-01D_2019-05-15,1
3260-01D_2019-05-20,0
3260-01D_2019-05-23,0
3260-01D_2019-05-24,1
3260-01D_2019-05-26,1
3260-01D_2019-05-30,1
3350-07D_2019-05-01,0
3350-07D_2019-05-02,0
3350-07D_2019-05-08,1
3350-07D_2019-05-09,0
3350-07D_2019-05-10,0
3350-07D_2019-05-11,1
3350-07D_2019-05-13,0
3350-07D_2019-05-14,0
3350-07D_2019-05-18,1
3350-07D_2019-05-19,0
3350-07D_2019-05-20,0
3350-07D_2019-05-23,0
3350-07D_2019-05-24,1
3350-07D_2019-05-25,1
3350-07D_2019-05-27,1
3350-07D_2019-05-31,1
4240-01D_2019-05-07,1
4240-01D_2019-05-09,0
4240-01D_2019-05-10,0
4240-01D_2019-05-15,1
4240-01D_2019-05-21,1
4240-01D_2019-05-22,1
4240-01D_2019-05-23,0
4240-01D_2019-05-24,1
4240-01D_2019-05-25,1
4350-01D_2019-05-03,1
4350-01D_2019-05-04,1
4350-01D_2019-05-07,1
4350-01D_2019-05-08,1
4350-01D_2019-05-10,0
4350-01D_2019-05-11,1
4350-01D_2019-05-12,1
4350-01D_2019-05-21,1
4350-01D_2019-05-22,1
4350-01D_2019-05-23,0
4350-01D_2019-05-29,1
4350-01D_2019-05-30,1
4380-01D_2019-05-02,1
4380-01D_2019-05-04,1
4380-01D_2019-05-05,1
4380-01D_2019-05-06,1
4380-01D_2019-05-08,1
4380-01D_2019-05-09,0
4380-01D_2019-05-10,0
4380-01D_2019-05-17,1
4380-01D_2019-05-18,1
4380-01D_2019-05-28,1
4380-01D_2019-05-30,1
3260-01D_2019-06-02,0
3260-01D_2019-06-09,1
3260-01D_2019-06-11,0
3260-01D_2019-06-24,1
3260-01D_2019-06-29,1
3350-07D_2019-06-02,0
3350-07D_2019-06-04,1
3350-07D_2019-06-05,1
3350-07D_2019-06-11,0
3350-07D_2019-06-14,0
3350-07D_2019-06-15,0
3350-07D_2019-06-16,1
3350-07D_2019-06-17,1
3350-07D_2019-06-18,1
3350-07D_2019-06-19,1
3350-07D_2019-06-22,1
3350-07D_2019-06-25,0
3350-07D_2019-06-26,1
3350-07D_2019-06-29,0
3350-07D_2019-06-30,0
4240-01D_2019-06-01,1
4240-01D_2019-06-08,1
4240-01D_2019-06-11,0
4240-01D_2019-06-12,1
4240-01D_2019-06-13,1
4240-01D_2019-06-20,0
4240-01D_2019-06-25,0
4240-01D_2019-06-28,1
4240-01D_2019-06-29,1
4240-01D_2019-06-30,0
4350-01D_2019-06-08,1
4350-01D_2019-06-11,0
4350-01D_2019-06-13,1
4350-01D_2019-06-14,0
4350-01D_2019-06-15,0
4350-01D_2019-06-16,1
4350-01D_2019-06-19,1
4350-01D_2019-06-23,1
4350-01D_2019-06-24,1
4350-01D_2019-06-25,0
4380-01D_2019-06-01,1
4380-01D_2019-06-11,0
4380-01D_2019-06-13,1
4380-01D_2019-06-18,1
4380-01D_2019-06-20,0
4380-01D_2019-06-24,1
4380-01D_2019-06-25,0
4380-01D_2019-06-26,1
4380-01D_2019-06-28,1
4380-01D_2019-06-30,0
3260-01D_2019-07-01,1
3260-01D_2019-07-02,1
3260-01D_2019-07-05,1
3260-01D_2019-07-08,1
3260-01D_2019-07-10,1
3260-01D_2019-07-11,0
3260-01D_2019-07-14,1
3260-01D_2019-07-21,1
3260-01D_2019-07-28,1
3260-01D_2019-07-30,1
3260-01D_2019-07-31,1
3350-07D_2019-07-03,1
3350-07D_2019-07-04,1
3350-07D_2019-07-05,1
3350-07D_2019-07-06,1
3350-07D_2019-07-08,1
3350-07D_2019-07-11,0
3350-07D_2019-07-13,0
3350-07D_2019-07-17,1
3350-07D_2019-07-19,1
3350-07D_2019-07-21,1
3350-07D_2019-07-23,1
3350-07D_2019-07-25,1
3350-07D_2019-07-27,1
3350-07D_2019-07-28,1
3350-07D_2019-07-29,1
3350-07D_2019-07-30,1
4240-01D_2019-07-03,1
4240-01D_2019-07-04,1
4240-01D_2019-07-06,1
4240-01D_2019-07-07,1
4240-01D_2019-07-08,1
4240-01D_2019-07-11,0
4240-01D_2019-07-14,1
4240-01D_2019-07-16,1
4240-01D_2019-07-20,1
4240-01D_2019-07-21,1
4240-01D_2019-07-25,1
4240-01D_2019-07-29,1
4240-01D_2019-07-30,1
4350-01D_2019-07-04,1
4350-01D_2019-07-06,1
4350-01D_2019-07-08,1
4350-01D_2019-07-09,1
4350-01D_2019-07-10,1
4350-01D_2019-07-11,0
4350-01D_2019-07-17,1
4350-01D_2019-07-19,1
4350-01D_2019-07-23,1
4350-01D_2019-07-24,1
4350-01D_2019-07-27,1
4350-01D_2019-07-30,1
4350-01D_2019-07-31,1
4380-01D_2019-07-01,1
4380-01D_2019-07-02,1
4380-01D_2019-07-11,0
4380-01D_2019-07-17,1
4380-01D_2019-07-19,1
4380-01D_2019-07-21,1
4380-01D_2019-07-26,1
4380-01D_2019-07-30,1
3260-01D_2019-08-01,1
3260-01D_2019-08-09,0
3260-01D_2019-08-16,1
3260-01D_2019-08-17,0
3260-01D_2019-08-21,1
3260-01D_2019-08-22,1
3260-01D_2019-08-25,1
3260-01D_2019-08-26,1
3260-01D_2019-08-27,1
3260-01D_2019-08-28,0
3260-01D_2019-08-30,0
